address,flag,avgTimeBetweenSentTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqRecAddress,numUniqSentAddress,minValReceived,maxValReceived,avgValReceived,minValSent,maxValSent,avgValSent,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance
0xd0cc2b24980cbcca47ef755da88b220a82291407,1,58076.545455,71482604.761905,46.0,66,21,0,17,47,0.018779,266.0,17.48634,0.0,183.0,5.559412,87,366.92118982,367.2131298011429,0.0,0.2919399811429457
0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1,1,0.0,752911521.0,35.0,0,2,0,2,0,0.003541,0.01,0.006771,0.0,0.0,0.0,2,0.0,0.013541267,0.0,0.013541267
0x00e01a648ff41346cdeb873182383333d2184dd1,1,1710279.133333,68206119.136364,299.0,15,22,0,21,13,0.425099,49.999314,9.10075,0.0,25.0,13.33,37,199.95,200.21649427006636,0.0,0.2664942700663459
0x858457daa7e087ad74cdeeceab8419079bc2ca03,1,15761.06422,13525709.432432,36.0,109,111,0,104,54,0.01,193.5,14.689887,0.0,680.0,14.959358,220,1630.5700000000002,1630.5774191330895,0.0,0.00741913308957
0x240e125c20a4cc84bd6e7f8d1fd07aff4c06d43d,1,0.0,375140886.75,82.0,1,4,0,4,1,0.002199,1.0,0.47555,1.9,1.9,1.9,5,1.9,1.902199484949186,0.0,0.0021994849491862
0x2268751eafc860781074d25f4bd10ded480310b9,1,318072.415094,20329403.148649,199.0,53,74,0,63,50,0.002387,880.0,15.558149,0.0,1150.8,21.721885,127,1151.2598797559176,1151.3030257909177,0.0,0.0431460350000634
0xadf5b0c2103598fb66a61714152f1d1717d49fe0,1,159761.0,49946200.7,10.0,2,30,0,28,1,0.0165,68.0,6.089134,1.0,181.664,91.332,32,182.664,182.6740233237633,0.0,0.0100233237633062
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,1,256.25,0.0,1.0,8,1,0,1,2,0.09,0.09,0.09,0.0,0.08,0.01,9,0.08,0.09,0.0,0.0099999999999999
0x2b065809f6ec6df32878bcd26711a0e2bcf59c26,1,70630.75,375083797.5,30.0,20,4,0,3,18,0.1,147.0,37.318312,0.0,75.0,7.462902,24,149.258042721435,149.273246049435,0.0,0.0152033279999841
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,1,8507.163265,53554510.321429,9.0,49,28,0,23,35,0.0,139.0,10.874718,0.0,150.0,6.213423,77,304.4577280647965,304.4920985547965,0.0,0.0343704899999579
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,1,104967.366667,375458171.5,140.0,90,4,0,4,51,0.1,0.989557,0.372389,0.0,9.0,0.103461,94,9.311456061612969,1.4895572,0.0,-7.821898861612968
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,1,2422.428571,28846195.865385,6.0,119,52,0,45,64,0.011493,515.221411,17.20108,0.0,131.0,7.515546,171,894.3499200197758,894.4561496957759,0.0,0.1062296760001118
0x1d60606d8a09b5015d773a80b0c660bb8d91809c,1,20948.622517,17495231.895349,92.0,151,86,0,53,87,0.09874,267.0,24.043615,0.0,640.0,13.691473,237,2067.4123654045266,2067.7508920135265,0.0,0.3385266089999277
0xba83e9ce38b10522e3d6061a12779b7526839eda,1,26693.469231,14202022.886792,111.0,130,106,0,66,50,0.0,160.0,18.780728,0.0,739.0,15.311076,236,1990.4398404408068,1990.7571315208063,0.0,0.3172910799994497
0xf73ef0650415656b51be39bd5d37cf5ce03f4033,1,7789.0,0.0,1.0,2,1,0,1,1,0.01242,0.01242,0.01242,0.0,0.0,0.0,3,0.0,0.01241978,0.0,0.01241978
0xedf202629bb7e9f72d4c62c325d198513fa7a3d3,1,775.5,749720418.0,1.0,2,2,0,2,1,0.012346,0.081312,0.046829,0.0,0.0,0.0,4,0.0,0.0936584,0.0,0.0936584
